"Target_Sentences","Button_ID","Button_Label"
"野菜","",""
"スペアリブ","",""
"しょうが","",""
"だいこん","",""
"ねぎ","",""
"酒","",""
"五香粉","",""
"オイスターソース","",""
"ごま","",""
"あぶら","",""
"醤油","",""
"鷹の爪","",""
"水","",""
"小麦粉","",""
"鶏胸肉","",""
"サワークリーム","",""
"パルメザンチーズ","",""
"たまねぎ","",""
"ニンニク","",""
"タラゴン","",""
"バター","",""
"チキン","",""
"水","",""
"鶏肉","",""
"水","",""
"しょうが","",""
"セロリ","",""
"たまねぎ","",""
"長ネギ","",""
"ナス","",""
"にんじん","",""
"干ししいたけ","",""
"水","",""
"酒","",""
"ごま","",""
"あぶら","",""
"醤油","",""
"ひき肉","",""
"砂糖","",""
"コーンスターチ","",""
"スパゲッティ","",""
"鮭","",""
"牛乳","",""
"パルメザンチーズ","",""
"パセリ","",""
"たまねぎ","",""
"ニンニク","",""
"しいたけ","",""
"白ワイン","",""
"オリーブオイル","",""
"月桂樹","",""
"葉","",""
"バター","",""
"小麦粉","",""
"あさり","",""
"牛乳","",""
"じゃがいも","",""
"たまねぎ","",""
"コショウ","",""
"塩","",""
"バター","",""
"ベーコン","",""
"マッシュルーム","",""
"水","",""
"片栗粉","",""
"鶏もも","",""
"肉","",""
"しょうが","",""
"しぼり汁","",""
"トマト","",""
"長ネギ","",""
"きくらげ","",""
"酒","",""
"油","",""
"ごま","",""
"あぶら","",""
"塩","",""
"醤油","",""
"ザーサイ","",""
"薄力粉","",""
"卵","",""
"牛乳","",""
"クリームチーズ","",""
"ベーキングパウダー","",""
"バター","",""
"アーモンド","",""
"紅茶","",""
"葉","",""
"コーンミール","",""
"小麦粉","",""
"卵","",""
"牛乳","",""
"ベーキングパウダー","",""
"蜂蜜","",""
"塩","",""
"ショートニング","",""
"バター","",""
"薄力粉","",""
"くるみ","",""
"ミント","",""
"卵","",""
"ブランデー","",""
"バニラエッセンス","",""
"ココア","",""
"ケーキ","",""
"チョコ","",""
"パウンドケーキ","",""
"中華麺","",""
"トムヤムスープ","",""
"もやし","",""
"ニラ","",""
"豚ひき肉","",""
"しめじ","",""
"あさつき","",""
"ナンプラー","",""
"サラダ油","",""
"ラザニア","",""
"薄力粉","",""
"ひき肉","",""
"牛乳","",""
"パルメザンチーズ","",""
"パルメジャーノレッジャーノチーズ","",""
"たまねぎ","",""
"にんじん","",""
"オリーブオイル","",""
"ラザニア","",""
"牛肉","",""
"しゃぶしゃぶ","",""
"サニーレタス","",""
"レタス","",""
"しょうが","",""
"長ネギ","",""
"酒","",""
"茶そば","",""
"牛肉","",""
"卵","",""
"あさつき","",""
"だいこん","",""
"レモン","",""
"唐辛子","",""
"コショウ","",""
"塩","",""
"めんつゆ","",""
"薄力粉","",""
"セロリ","",""
"たまねぎ","",""
"にんじん","",""
"バジル","",""
"オリーブオイル","",""
"水","",""
"水","",""
"牛乳","",""
"強力粉","",""
"片栗粉","",""
"いわし","",""
"卵","",""
"ごぼう","",""
"ささがき","",""
"しょうが","",""
"にんじん","",""
"ねぎ","",""
"しょうゆ","",""
"みそ","",""
"ごま","",""
"ごま","",""
"あぶら","",""
"サラダオイル","",""
"塩","",""
"うどん","",""
"豆腐","",""
"青じそ","",""
